host,time
compute-0-0.local,55.27
compute-0-1.local,55.22
compute-0-2.local,55.03
compute-0-2.local,55.21
compute-0-4.local,55.22
compute-0-4.local,55.22
compute-0-6.local,55.72
compute-0-7.local,55.32
compute-0-9.local,54.93
compute-0-9.local,55.20
