host,time
compute-0-0.local,0.18
compute-0-1.local,0.19
compute-0-2.local,0.18
compute-0-3.local,0.18
compute-0-4.local,0.18
compute-0-5.local,0.18
compute-0-6.local,0.18
compute-0-7.local,0.18
compute-0-8.local,0.18
compute-0-9.local,0.18
