host,time
compute-0-0.local,3.24
compute-0-0.local,3.25
compute-0-1.local,3.25
compute-0-2.local,3.23
compute-0-3.local,3.23
compute-0-4.local,3.20
compute-0-5.local,3.21
compute-0-6.local,3.25
compute-0-6.local,3.30
compute-0-9.local,3.22
