host,time
compute-0-1.local,96.64
compute-0-2.local,96.55
compute-0-2.local,96.65
compute-0-4.local,96.61
compute-0-5.local,96.69
compute-0-5.local,96.69
compute-0-5.local,96.72
compute-0-6.local,96.38
compute-0-7.local,96.68
compute-0-9.local,97.46
