host,time
compute-0-0.local,4.55
compute-0-1.local,4.59
compute-0-2.local,4.65
compute-0-3.local,4.58
compute-0-3.local,4.58
compute-0-4.local,4.56
compute-0-5.local,4.57
compute-0-6.local,4.58
compute-0-7.local,4.57
compute-0-9.local,4.56
