host,time
compute-0-0.local,15.46
compute-0-0.local,15.48
compute-0-1.local,15.48
compute-0-1.local,15.49
compute-0-2.local,15.47
compute-0-4.local,15.46
compute-0-7.local,15.48
compute-0-8.local,15.51
compute-0-9.local,15.47
compute-0-9.local,15.47
