host,time
compute-0-0.local,8.13
compute-0-0.local,8.16
compute-0-1.local,8.09
compute-0-1.local,8.14
compute-0-2.local,8.22
compute-0-4.local,8.11
compute-0-5.local,8.13
compute-0-6.local,8.13
compute-0-7.local,8.16
compute-0-9.local,8.09
