host,time
compute-0-0.local,38.31
compute-0-1.local,38.21
compute-0-1.local,38.45
compute-0-2.local,38.35
compute-0-3.local,38.40
compute-0-4.local,38.29
compute-0-7.local,38.37
compute-0-7.local,38.42
compute-0-9.local,38.26
compute-0-9.local,38.38
