host,time
compute-0-1.local,4.28
compute-0-2.local,4.32
compute-0-3.local,4.29
compute-0-4.local,4.29
compute-0-5.local,4.32
compute-0-6.local,4.28
compute-0-6.local,4.29
compute-0-7.local,4.28
compute-0-8.local,4.28
compute-0-9.local,4.29
