host,time
compute-0-0.local,9.13
compute-0-1.local,9.11
compute-0-2.local,9.14
compute-0-3.local,9.22
compute-0-4.local,9.15
compute-0-5.local,9.10
compute-0-6.local,9.16
compute-0-7.local,9.15
compute-0-8.local,9.15
compute-0-9.local,9.19
