host,time
compute-0-0.local,4.59
compute-0-1.local,4.60
compute-0-2.local,4.62
compute-0-4.local,4.63
compute-0-5.local,4.62
compute-0-5.local,4.64
compute-0-6.local,4.58
compute-0-7.local,4.59
compute-0-7.local,4.60
compute-0-9.local,4.64
