host,time
compute-0-2.local,51.03
compute-0-3.local,50.72
compute-0-3.local,51.21
compute-0-4.local,50.71
compute-0-4.local,51.19
compute-0-5.local,50.61
compute-0-5.local,51.18
compute-0-6.local,51.03
compute-0-6.local,51.11
compute-0-9.local,51.19
