host,flops,instructions
compute-0-0.local,2005761447,33073989047
compute-0-1.local,2004945118,33073988996
compute-0-1.local,2005391885,33073988940
compute-0-2.local,2005008473,33073988991
compute-0-2.local,2006592159,33073992417
compute-0-3.local,2004420917,33073988819
compute-0-4.local,2005078905,33073989087
compute-0-5.local,2004902805,33073989068
compute-0-6.local,2006341965,33073989043
compute-0-7.local,2008275198,33073992652
