host,time
compute-0-1.local,2.50
compute-0-2.local,2.50
compute-0-2.local,2.52
compute-0-3.local,2.52
compute-0-4.local,2.50
compute-0-5.local,2.51
compute-0-6.local,2.49
compute-0-7.local,2.53
compute-0-8.local,2.53
compute-0-9.local,2.47
