host,time
compute-0-0.local,8.16
compute-0-2.local,8.33
compute-0-3.local,8.18
compute-0-4.local,8.16
compute-0-4.local,8.17
compute-0-5.local,8.29
compute-0-6.local,8.36
compute-0-7.local,8.17
compute-0-8.local,8.26
compute-0-9.local,8.38
