static 1 15.477 1 1
static-4t 4 4.292 3.6060 .9015
dynamic-1 4 8.894 1.7401 .4350
dynamic-2 4 8.854 1.7480 .4370
dynamic-4 4 8.845 1.7498 .4374
dynamic-8 4 8.848 1.7492 .4373
dynamic-16 4 9.510 1.6274 .4068
dynamic-32 4 12.906 1.1992 .2998
guided-1 4 8.838 1.7511 .4377
guided-2 4 8.856 1.7476 .4369
guided-4 4 8.927 1.7337 .4334
guided-8 4 8.842 1.7503 .4375
guided-16 4 9.747 1.5878 .3969
guided-32 4 12.899 1.1998 .2999
