host,time
compute-0-0.local,8.91
compute-0-1.local,8.94
compute-0-2.local,8.89
compute-0-3.local,8.95
compute-0-4.local,8.90
compute-0-5.local,8.94
compute-0-6.local,8.91
compute-0-7.local,8.95
compute-0-8.local,8.92
compute-0-9.local,8.96
