host,time
compute-0-2.local,36.52
compute-0-2.local,36.88
compute-0-3.local,36.78
compute-0-4.local,36.52
compute-0-4.local,36.71
compute-0-5.local,36.50
compute-0-5.local,36.51
compute-0-9.local,36.08
compute-0-9.local,36.26
compute-0-9.local,36.35
