host,time
compute-0-0.local,6.84
compute-0-1.local,6.82
compute-0-2.local,6.82
compute-0-2.local,6.83
compute-0-3.local,6.80
compute-0-4.local,6.81
compute-0-5.local,6.81
compute-0-6.local,6.83
compute-0-7.local,6.81
compute-0-8.local,6.88
