host,time
compute-0-0.local,12.92
compute-0-0.local,12.95
compute-0-1.local,12.97
compute-0-2.local,12.86
compute-0-3.local,12.87
compute-0-4.local,12.83
compute-0-5.local,12.95
compute-0-6.local,12.95
compute-0-7.local,12.85
compute-0-8.local,12.91
