host,time
compute-0-0.local,4.91
compute-0-1.local,4.91
compute-0-2.local,4.93
compute-0-3.local,4.91
compute-0-4.local,4.91
compute-0-5.local,4.90
compute-0-7.local,4.88
compute-0-8.local,4.91
compute-0-9.local,4.90
compute-0-9.local,4.90
